postcodes,district,county,district_county,total,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
4550,Aveiro,Castelo de Paiva,Aveiro_Castelo de Paiva,0.0010074767577616759,9.60164313336404e-5,6.957712415481189e-7,8.418832022732238e-5,9.740797381673664e-6,2.7830849661924755e-6,9.60164313336404e-5,1.7185549666238535e-4,2.504776469573228e-5,7.027289539636e-5,3.4788562077405943e-6,1.948159476334733e-5,6.331518298087882e-5,9.879951629983287e-5,9.810374505828475e-5,8.48840914688705e-5,2.922239214502099e-5,5.357438559920515e-5
4500,Aveiro,Espinho,Aveiro_Espinho,0.002576440907452684,2.991816338656911e-5,0,1.3358807837723883e-4,6.26194117393307e-6,1.3915424830962378e-6,1.3706693458497943e-4,5.044341501223862e-4,5.427015684075327e-5,2.0386097377359883e-4,4.035473200979089e-5,1.0506145747376594e-4,2.9013660772556554e-4,4.000684638901683e-4,1.7950898031941466e-4,2.483903332326784e-4,8.418832022732238e-5,1.5794007183142297e-4
4504,Aveiro,Espinho,Aveiro_Espinho,0.002576440907452684,2.991816338656911e-5,0,1.3358807837723883e-4,6.26194117393307e-6,1.3915424830962378e-6,1.3706693458497943e-4,5.044341501223862e-4,5.427015684075327e-5,2.0386097377359883e-4,4.035473200979089e-5,1.0506145747376594e-4,2.9013660772556554e-4,4.000684638901683e-4,1.7950898031941466e-4,2.483903332326784e-4,8.418832022732238e-5,1.5794007183142297e-4
3860,Aveiro,Estarreja,Aveiro_Estarreja,0.001972511469788917,2.0177366004895447e-4,0,1.3776270582652753e-4,2.7135078420376635e-5,4.870398690836832e-6,2.1499331363836871e-4,3.68758758020503e-4,3.548433331895406e-5,1.0088683002447723e-4,2.57435359372804e-5,4.174627449288713e-5,1.5446121562368237e-4,2.650888430298333e-4,8.766717643506297e-5,1.4054579079272e-4,6.122786925623446e-5,1.0436568623221783e-4
3864,Aveiro,Estarreja,Aveiro_Estarreja,0.001972511469788917,2.0177366004895447e-4,0,1.3776270582652753e-4,2.7135078420376635e-5,4.870398690836832e-6,2.1499331363836871e-4,3.68758758020503e-4,3.548433331895406e-5,1.0088683002447723e-4,2.57435359372804e-5,4.174627449288713e-5,1.5446121562368237e-4,2.650888430298333e-4,8.766717643506297e-5,1.4054579079272e-4,6.122786925623446e-5,1.0436568623221783e-4
3870,Aveiro,Murtosa,Aveiro_Murtosa,9.086772414618432e-4,2.8596198027627687e-4,0,3.339701959430971e-5,4.870398690836832e-6,6.957712415481189e-7,7.931792153648555e-5,1.259345947202095e-4,1.252388234786614e-5,6.609826794707129e-5,6.9577124154811885e-6,1.809005228025109e-5,5.4965928082301385e-5,1.0575722871531406e-4,3.061393462811723e-5,4.452935945907961e-5,9.740797381673664e-6,2.922239214502099e-5
3865,Aveiro,Estarreja,Aveiro_Estarreja,0.001972511469788917,2.0177366004895447e-4,0,1.3776270582652753e-4,2.7135078420376635e-5,4.870398690836832e-6,2.1499331363836871e-4,3.68758758020503e-4,3.548433331895406e-5,1.0088683002447723e-4,2.57435359372804e-5,4.174627449288713e-5,1.5446121562368237e-4,2.650888430298333e-4,8.766717643506297e-5,1.4054579079272e-4,6.122786925623446e-5,1.0436568623221783e-4
3830,Aveiro,Ílhavo,Aveiro_Ílhavo,0.003259688266652937,1.5933161431451923e-4,4.1746274492887135e-6,2.1568908487991684e-4,2.0177366004895445e-5,1.3915424830962378e-6,2.511734181988709e-4,5.315692285427628e-4,8.210100650267803e-5,2.4282416330029347e-4,7.236020912100436e-5,9.392911760899604e-5,3.2770825476916395e-4,5.524423657892063e-4,1.8855400645954022e-4,2.1499331363836871e-4,9.879951629983287e-5,2.024694312905026e-4
3050,Aveiro,Mealhada,Aveiro_Mealhada,0.0017429069600780377,1.7185549666238535e-4,0,1.2523882347866138e-4,2.0177366004895445e-5,0,1.4472041824200872e-4,2.880492940009212e-4,4.6616673183723964e-5,1.0366991499066971e-4,1.948159476334733e-5,2.8526620903472874e-5,1.6698509797154852e-4,2.657846142713814e-4,8.001369277803366e-5,1.3845847706807566e-4,4.174627449288713e-5,1.0158260126602535e-4
3054,Aveiro,Mealhada,Aveiro_Mealhada,0.0017429069600780377,1.7185549666238535e-4,0,1.2523882347866138e-4,2.0177366004895445e-5,0,1.4472041824200872e-4,2.880492940009212e-4,4.6616673183723964e-5,1.0366991499066971e-4,1.948159476334733e-5,2.8526620903472874e-5,1.6698509797154852e-4,2.657846142713814e-4,8.001369277803366e-5,1.3845847706807566e-4,4.174627449288713e-5,1.0158260126602535e-4
3720,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis,0.00551468286051039,1.9690326135811764e-4,2.7830849661924755e-6,7.709145356353157e-4,3.4092790835857824e-5,6.26194117393307e-6,3.5275601946489624e-4,0.0011222790126171158,8.48840914688705e-5,2.4978187571577466e-4,4.452935945907961e-5,1.6698509797154852e-4,4.39031653416863e-4,0.0010457441760468227,2.184721698461093e-4,3.5901796063882933e-4,1.1549802609698773e-4,3.047478037980761e-4
3700,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis,0.00551468286051039,1.9690326135811764e-4,2.7830849661924755e-6,7.709145356353157e-4,3.4092790835857824e-5,6.26194117393307e-6,3.5275601946489624e-4,0.0011222790126171158,8.48840914688705e-5,2.4978187571577466e-4,4.452935945907961e-5,1.6698509797154852e-4,4.39031653416863e-4,0.0010457441760468227,2.184721698461093e-4,3.5901796063882933e-4,1.1549802609698773e-4,3.047478037980761e-4
3770,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro,0.0021868090121857377,1.8646669273489585e-4,2.0873137246443567e-6,2.254298822615905e-4,1.878582352179921e-5,2.7830849661924755e-6,2.1360177115527248e-4,4.2789931355209307e-4,3.8267418285146535e-5,9.60164313336404e-5,1.948159476334733e-5,5.2182843116108914e-5,1.7533435287012594e-4,3.2075054235368276e-4,8.697140519351485e-5,1.5306967314058614e-4,5.427015684075327e-5,1.1341071237234337e-4
3774,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro,0.0021868090121857377,1.8646669273489585e-4,2.0873137246443567e-6,2.254298822615905e-4,1.878582352179921e-5,2.7830849661924755e-6,2.1360177115527248e-4,4.2789931355209307e-4,3.8267418285146535e-5,9.60164313336404e-5,1.948159476334733e-5,5.2182843116108914e-5,1.7533435287012594e-4,3.2075054235368276e-4,8.697140519351485e-5,1.5306967314058614e-4,5.427015684075327e-5,1.1341071237234337e-4
