postcodes,district,county,district_county,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
4486,Porto,Vila do Conde,Porto_Vila do Conde,0.06902510928128494,0,0.06079089153197113,0.0033546813052759985,9.149130832570906e-4,0.08224052048388736,0.20544881569584222,0.01982311680390363,0.07065162142929755,0.01596015045237369,0.04147605977432144,0.09586255972349293,0.10318186438954965,0.05255667378265731,0.09169462234421064,0.028260648571719022,0.05875775134695537
4484,Porto,Vila do Conde,Porto_Vila do Conde,0.06902510928128494,0,0.06079089153197113,0.0033546813052759985,9.149130832570906e-4,0.08224052048388736,0.20544881569584222,0.01982311680390363,0.07065162142929755,0.01596015045237369,0.04147605977432144,0.09586255972349293,0.10318186438954965,0.05255667378265731,0.09169462234421064,0.028260648571719022,0.05875775134695537
4410,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4405,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4430,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4434,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4414,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4400,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4415,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4409,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
4404,Porto,Vila Nova de Gaia,Porto_Vila Nova de Gaia,0.015472741638135373,1.316829075585989e-4,0.03840751470459135,0.002326398033535247,7.68150294091827e-4,0.05177332982178914,0.127161794399087,0.03309630409972785,0.08434290229128259,0.022056887016065313,0.040821701343165664,0.10132999736634186,0.26839171275568435,0.04892020015801949,0.0831577561232552,0.03008954437713985,0.05175138267052937
2200,Santarém,Abrantes,Santarém_Abrantes,0.08981108702384638,0,0.04955094456488077,0.016723443790647257,0.0024775472282440383,0.065035614741406,0.1892226695571384,0.02260761845772685,0.08547537937441932,0.013936203158872713,0.0260142458965624,0.08950139362031588,0.10560545060390213,0.04955094456488077,0.10715391762155464,0.028801486528336945,0.058532053267265405
2205,Santarém,Abrantes,Santarém_Abrantes,0.08981108702384638,0,0.04955094456488077,0.016723443790647257,0.0024775472282440383,0.065035614741406,0.1892226695571384,0.02260761845772685,0.08547537937441932,0.013936203158872713,0.0260142458965624,0.08950139362031588,0.10560545060390213,0.04955094456488077,0.10715391762155464,0.028801486528336945,0.058532053267265405
2230,Santarém,Abrantes,Santarém_Abrantes,0.08981108702384638,0,0.04955094456488077,0.016723443790647257,0.0024775472282440383,0.065035614741406,0.1892226695571384,0.02260761845772685,0.08547537937441932,0.013936203158872713,0.0260142458965624,0.08950139362031588,0.10560545060390213,0.04955094456488077,0.10715391762155464,0.028801486528336945,0.058532053267265405
2380,Santarém,Alcanena,Santarém_Alcanena,0.05352480417754571,6.527415143603135e-4,0.11879895561357706,0.005221932114882508,0.004569190600522194,0.048955613577023514,0.2552219321148826,0.023498694516971286,0.06657963446475199,0.0058746736292428214,0.042428198433420376,0.08355091383812013,0.12402088772845955,0.04765013054830288,0.045039164490861636,0.016318537859007835,0.0580939947780679
2384,Santarém,Alcanena,Santarém_Alcanena,0.05352480417754571,6.527415143603135e-4,0.11879895561357706,0.005221932114882508,0.004569190600522194,0.048955613577023514,0.2552219321148826,0.023498694516971286,0.06657963446475199,0.0058746736292428214,0.042428198433420376,0.08355091383812013,0.12402088772845955,0.04765013054830288,0.045039164490861636,0.016318537859007835,0.0580939947780679
2395,Santarém,Alcanena,Santarém_Alcanena,0.05352480417754571,6.527415143603135e-4,0.11879895561357706,0.005221932114882508,0.004569190600522194,0.048955613577023514,0.2552219321148826,0.023498694516971286,0.06657963446475199,0.0058746736292428214,0.042428198433420376,0.08355091383812013,0.12402088772845955,0.04765013054830288,0.045039164490861636,0.016318537859007835,0.0580939947780679
2080,Santarém,Almeirim,Santarém_Almeirim,0.26827562084644985,0,0.035327037425673315,0.0045470444211262685,6.995452955578875e-4,0.0640083945435467,0.18607904861839808,0.011892270024484087,0.051416579223504726,0.006995452955578875,0.022035676810073453,0.06925498426023086,0.10842952081147256,0.0391745365512417,0.0720531654424624,0.018537950332284017,0.04127317243791536
2090,Santarém,Alpiarça,Santarém_Alpiarça,0.2577065351418003,0,0.04069050554870531,0.00493218249075216,0.00246609124537608,0.059186189889025916,0.1800246609124538,0.013563501849568439,0.054254007398273754,0.006165228113440199,0.020961775585696677,0.06411837237977806,0.1023427866831073,0.05178791615289767,0.07398273736128239,0.023427866831072754,0.04438964241676943
2130,Santarém,Benavente,Santarém_Benavente,0.06304152972811475,0,0.04003585300268899,0.0044816253361219015,0.0017926501344487607,0.06543172990737976,0.21153271586495379,0.03913952793546461,0.0591574544368091,0.018822826411711985,0.04481625336121901,0.07588885569166419,0.17777113833283542,0.043023603226770256,0.05766357932476847,0.034060352554526455,0.06334030475052287
2135,Santarém,Benavente,Santarém_Benavente,0.06304152972811475,0,0.04003585300268899,0.0044816253361219015,0.0017926501344487607,0.06543172990737976,0.21153271586495379,0.03913952793546461,0.0591574544368091,0.018822826411711985,0.04481625336121901,0.07588885569166419,0.17777113833283542,0.043023603226770256,0.05766357932476847,0.034060352554526455,0.06334030475052287
2890,Santarém,Benavente,Santarém_Benavente,0.06304152972811475,0,0.04003585300268899,0.0044816253361219015,0.0017926501344487607,0.06543172990737976,0.21153271586495379,0.03913952793546461,0.0591574544368091,0.018822826411711985,0.04481625336121901,0.07588885569166419,0.17777113833283542,0.043023603226770256,0.05766357932476847,0.034060352554526455,0.06334030475052287
2139,Santarém,Benavente,Santarém_Benavente,0.06304152972811475,0,0.04003585300268899,0.0044816253361219015,0.0017926501344487607,0.06543172990737976,0.21153271586495379,0.03913952793546461,0.0591574544368091,0.018822826411711985,0.04481625336121901,0.07588885569166419,0.17777113833283542,0.043023603226770256,0.05766357932476847,0.034060352554526455,0.06334030475052287
2070,Santarém,Cartaxo,Santarém_Cartaxo,0.10773592547590118,0,0.061563385986229235,0.005265289590927501,4.0502227622519235e-4,0.06844876468205752,0.18671526933981367,0.024706358849736734,0.06318347509113001,0.014580801944106925,0.03807209396516808,0.08829485621709193,0.12434183880113404,0.046982584042122306,0.07330903199675981,0.04009720534629404,0.05629809639530174
