year,month,date,postcodes,energy_kwh,energy_normalized
2023,3,2023-03,1750,8471540.553,0.502465494861348
2023,4,2023-04,1750,7121144.551,0
2023,5,2023-05,1750,7299530.115,0.06637504151273459
2023,6,2023-06,1750,7330241.191,0.077802249514839
2023,7,2023-07,1750,7542653.305,0.15683814551681421
2023,8,2023-08,1750,7456481.588,0.12477472533389763
2023,9,2023-09,1750,7289849.459,0.06277299026227282
2023,10,2023-10,1750,7937615.103,0.3037985001013045
2023,11,2023-11,1750,8141608.955,0.3797020659012961
2023,12,2023-12,1750,9599712.616,0.9222442361227899
2023,1,2023-01,1800,14112901.858,1
2023,2,2023-02,1800,12805140.92,0.41817499712763745
2023,3,2023-03,1800,13029698.273,0.518080934640993
2023,4,2023-04,1800,11865214.097,0
2023,5,2023-05,1800,12541357.956,0.30081752044562615
2023,6,2023-06,1800,12809851.896,0.4202709181366587
2023,7,2023-07,1800,13279657.277,0.6292881086698241
2023,8,2023-08,1800,13281144.954,0.6299499786260574
2023,9,2023-09,1800,12623757.999,0.3374774357727175
2023,10,2023-10,1800,13204975.263,0.5960619572017153
2023,11,2023-11,1800,12857432.529,0.44143962040286255
2023,12,2023-12,1800,13970529.526,0.9366583141705337
2023,1,2023-01,1885,3048040.967,1
2023,2,2023-02,1885,2801983.406,0.6564593859680223
2023,3,2023-03,1885,2668894.92,0.4706439206142622
2023,4,2023-04,1885,2331800.875,0
2023,5,2023-05,1885,2395184.782,0.08849533516479012
2023,6,2023-06,1885,2414676.05,0.11570865122696844
2023,7,2023-07,1885,2544968.442,0.2976202664175908
2023,8,2023-08,1885,2563995.338,0.3241852356402299
2023,9,2023-09,1885,2377905.15,0.06436986077009481
2023,10,2023-10,1885,2441705.356,0.15344642421943636
2023,11,2023-11,1885,2394058.312,0.08692258042433054
2023,12,2023-12,1885,2799450.402,0.6529228567674199
2023,1,2023-01,1900,8844352.475,1
2023,2,2023-02,1900,8004080.305,0.6642743422918637
2023,3,2023-03,1900,7527804.943,0.473981405233588
2023,4,2023-04,1900,6341498.878,0
2023,5,2023-05,1900,6543486.646,0.08070298967630753
2023,6,2023-06,1900,6451416.753,0.04391702140778472
2023,7,2023-07,1900,6601291.491,0.10379856548996574
2023,8,2023-08,1900,6581631.931,0.095943707329838
2023,9,2023-09,1900,6438479.727,0.038748111002674994
2023,10,2023-10,1900,6843782.896,0.20068453808167355
2023,11,2023-11,1900,7117920.384,0.3102145115202278
2023,12,2023-12,1900,8448262.571,0.8417446771657898
2023,1,2023-01,1950,9467092.148,0.9984458152590777
2023,2,2023-02,1950,8600607.922,0.5004055170808256
2023,3,2023-03,1950,8763916.55,0.5942725204764552
2023,4,2023-04,1950,7730008.718,0
2023,5,2023-05,1950,8270583.917,0.3107133692907273
2023,6,2023-06,1950,8305839.997,0.3309779604614803
2023,7,2023-07,1950,8593032.601,0.4960513522657858
2023,8,2023-08,1950,8656607.831,0.5325933060092706
2023,9,2023-09,1950,8468718.792,0.4245979032078055
2023,10,2023-10,1950,8909623.838,0.6780225749895813
2023,11,2023-11,1950,8696486.839,0.5555150770460726
2023,12,2023-12,1950,9469796.099,1
2023,1,2023-01,1990,17005227.082,0.779471442642457
2023,2,2023-02,1990,13216092.044,0
2023,3,2023-03,1990,16173978.103,0.6084733561772687
2023,4,2023-04,1990,15971466.241,0.5668141881501856
2023,5,2023-05,1990,17049563.849,0.7885920581362332
2023,6,2023-06,1990,17728490.843,0.9282556484160385
2023,7,2023-07,1990,18077251.582,1
2023,8,2023-08,1990,16330586.816,0.6406896847663182
2023,9,2023-09,1990,15459305.65,0.46145648758586394
2023,10,2023-10,1990,15943478.022,0.5610566690271832
2023,11,2023-11,1990,14530874.902,0.27046692208356016
2023,12,2023-12,1990,14582276.028,0.2810407626658727
2023,1,2023-01,2000,7192641.037,0.4976540872147392
2023,2,2023-02,2000,6512581.499,0.17487192376329871
2023,3,2023-03,2000,6509511.912,0.17341498083786547
2023,4,2023-04,2000,6144149.37,0
2023,5,2023-05,2000,6815684.588,0.31873619644736884
2023,6,2023-06,2000,7178077.594,0.4907417223758216
2023,7,2023-07,2000,8251017.763,1
2023,8,2023-08,2000,8021842.046,0.8912244743139017
2023,9,2023-09,2000,6836860.186,0.3287869419378582
2023,10,2023-10,2000,6714881.045,0.27089099485104845
2023,11,2023-11,2000,6548254.685,0.19180377680097432
2023,12,2023-12,2000,7310319.275,0.5535086618958075
2023,1,2023-01,2005,13348668.56,0.7539443146299167
2023,2,2023-02,2005,11616298.875,0.1902439604414539
2023,3,2023-03,2005,12134277.548,0.3587904109827944
2023,4,2023-04,2005,11031639.193,0
2023,5,2023-05,2005,12528516.198,0.4870727681286259
2023,6,2023-06,2005,12647129.626,0.5256687052164464
2023,7,2023-07,2005,13064760.029,0.6615625667457594
2023,8,2023-08,2005,14104849.405,1
2023,9,2023-09,2005,12564205.619,0.4986858432318659
2023,10,2023-10,2005,11931262.813,0.2927309093557051
2023,11,2023-11,2005,12322628.59,0.4200784547568724
2023,12,2023-12,2005,13854723.544,0.9186108844675414
2023,1,2023-01,2025,6716711.479,1
2023,2,2023-02,2025,5862173.743,0.24681419315330466
2023,3,2023-03,2025,6193938.96,0.5392305980969642
2023,4,2023-04,2025,5709190.385,0.11197533341060655
2023,5,2023-05,2025,5936176.515,0.3120399113276884
2023,6,2023-06,2025,5869214.918,0.2530202538690641
2023,7,2023-07,2025,5931599.549,0.308005793600183
2023,8,2023-08,2025,5588847.488,0.005905632616008044
2023,9,2023-09,2025,5582147.168,0
2023,10,2023-10,2025,6082985.236,0.4414364731414504
2023,11,2023-11,2025,6167518.027,0.5159433038080111
2023,12,2023-12,2025,6334277.532,0.6629243990030633
2023,1,2023-01,2040,14928602.248,0.80149204954302
2023,2,2023-02,2040,13450530.82,0.29877588291239415
2023,3,2023-03,2040,14213361.765,0.5582271118536913
2023,4,2023-04,2040,12572078.673,0
2023,5,2023-05,2040,13547417.198,0.33172851809917353
2023,6,2023-06,2040,13555089.296,0.3343379235876437
2023,7,2023-07,2040,14207109.132,0.5561004895311409
2023,8,2023-08,2040,15512249.541,1
2023,9,2023-09,2040,13608525.51,0.35251245030702066
2023,10,2023-10,2040,14460440.399,0.6422625795501897
2023,11,2023-11,2040,13788076.06,0.4135805167769592
2023,12,2023-12,2040,13857530.164,0.4372029887754132
2023,1,2023-01,2050,12047771.073,0.3228294533626237
2023,2,2023-02,2050,11090100.498,0.07847157332626854
2023,3,2023-03,2050,11568389.965,0.2005112425516054
2023,4,2023-04,2050,10782560.112,0
2023,5,2023-05,2050,11509730.494,0.18554377424694982
2023,6,2023-06,2050,11677001.786,0.22822448238509216
2023,7,2023-07,2050,13308420.907,0.6444950959604684
2023,8,2023-08,2050,14701691.244,1
2023,9,2023-09,2050,13256815.066,0.6313274219883896
2023,10,2023-10,2050,12507588.923,0.4401559307151043
2023,11,2023-11,2050,11909726.234,0.2876061259590431
2023,12,2023-12,2050,11988105.626,0.30760530163347444
2023,1,2023-01,2065,1270041.938,0.7516802096579241
2023,2,2023-02,2065,1134681.401,0.35214489135702
2023,3,2023-03,2065,1098068.016,0.2440754292061085
2023,4,2023-04,2065,1015376.5,0
2023,5,2023-05,2065,1090482.66,0.22168620343134868
2023,6,2023-06,2065,1113219.485,0.28879708238366125
2023,7,2023-07,2065,1189296.634,0.5133492939424873
2023,8,2023-08,2065,1181875.794,0.49144565986145444
2023,9,2023-09,2065,1090146.575,0.22069420214037314
2023,10,2023-10,2065,1120029.85,0.30889881519534723
2023,11,2023-11,2065,1136117.725,0.35638439999995064
2023,12,2023-12,2065,1354171.422,1
2023,1,2023-01,2070,8380961.801,0.3467557373915282
2023,2,2023-02,2070,7714588.001,0.13571197701569607
2023,3,2023-03,2070,7647142.556,0.11435168293897602
2023,4,2023-04,2070,7286075.423,0
2023,5,2023-05,2070,7812713.024,0.16678863975496497
2023,6,2023-06,2070,8194438.195,0.28768282184607896
2023,7,2023-07,2070,9756831.719,0.78250030190278
2023,8,2023-08,2070,10443590.238,1
2023,9,2023-09,2070,8552398.151,0.4010504470111252
2023,10,2023-10,2070,7476582.621,0.06033453812947506
2023,11,2023-11,2070,7438863.755,0.04838879338718146
2023,12,2023-12,2070,8188564.516,0.2858225996953872
2023,1,2023-01,2080,6379852.39,0.3019979037680789
2023,2,2023-02,2080,5771713.925,0.09583679742005258
2023,3,2023-03,2080,5792386.074,0.10284472958305314
2023,4,2023-04,2080,5489012.479,0
2023,5,2023-05,2080,6214546.01,0.24595845198436836
2023,6,2023-06,2080,6838973.122,0.45764146769958564
2023,7,2023-07,2080,7970834.421,0.84134648072545
2023,8,2023-08,2080,8438833.984,1
2023,9,2023-09,2080,6734630.399,0.4222689128439317
2023,10,2023-10,2080,5731780.491,0.08229922101676461
2023,11,2023-11,2080,5617176.111,0.043447927877249416
2023,12,2023-12,2080,6593849.272,0.37454360920729673
2023,1,2023-01,2090,3278029.767,0.3763847932507594
2023,2,2023-02,2090,2404031.302,0
2023,3,2023-03,2090,2511315.882,0.0462017796133024
2023,4,2023-04,2090,2646578.941,0.10445240651363712
2023,5,2023-05,2090,3739422.382,0.5750821262079773
2023,6,2023-06,2090,4037501.726,0.7034490933785225
2023,7,2023-07,2090,4676698.897,0.9787174201407501
2023,8,2023-08,2090,4726118.912,1
2023,9,2023-09,2090,3890097.758,0.6399700207693715
2023,10,2023-10,2090,3276291.45,0.37563619229681017
2023,11,2023-11,2090,3414199.938,0.43502606518795395
2023,12,2023-12,2090,3401340.787,0.42948831073604504
2023,1,2023-01,2100,8837640.589,0.48175148930424544
2023,2,2023-02,2100,8194394.031,0.2267357673571476
2023,3,2023-03,2100,8490545.865,0.34414544925002316
2023,4,2023-04,2100,7622480.265,0
2023,5,2023-05,2100,8310568.7,0.2727933275858649
2023,6,2023-06,2100,8674950.55,0.4172528655134186
2023,7,2023-07,2100,10144860.27,1
2023,8,2023-08,2100,8690616.348,0.4234635863282621
2023,9,2023-09,2100,8500171.516,0.34796154792703454
2023,10,2023-10,2100,8086856.583,0.18410244177304283
2023,11,2023-11,2100,8106489.826,0.19188606000704508
2023,12,2023-12,2100,7916068.457,0.11639332353492897
2023,1,2023-01,2120,3464500.337,0.58484876256338
2023,2,2023-02,2120,3148792.599,0.25489113251605156
2023,3,2023-03,2120,3186449.697,0.2942479341239364
2023,4,2023-04,2120,3166706.627,0.2736137341884929
2023,5,2023-05,2120,3346707.682,0.46173937814663657
2023,6,2023-06,2120,3457100.058,0.5771144620486145
2023,7,2023-07,2120,3861722.423,1
2023,8,2023-08,2120,3618791.18,0.7461037296313224
2023,9,2023-09,2120,3199571.003,0.307961487862951
2023,10,2023-10,2120,3001654.706,0.10111197343684816
2023,11,2023-11,2120,2904909.459,0
2023,12,2023-12,2120,3461844.229,0.5820727675675598
2023,1,2023-01,2125,2849476.631,0.2706952243409433
2023,2,2023-02,2125,2573920.537,0.01628273535064134
2023,3,2023-03,2125,2747397.606,0.17644879180168238
2023,4,2023-04,2125,2788060.869,0.21399193519627993
2023,5,2023-05,2125,2987999.913,0.39858952145173593
2023,6,2023-06,2125,3168005.444,0.5647831066087782
2023,7,2023-07,2125,3639392.158,1
2023,8,2023-08,2125,3389127.388,0.7689382146551785
2023,9,2023-09,2125,2761317.671,0.18930076082239572
2023,10,2023-10,2125,2579610.718,0.021536304923358868
2023,11,2023-11,2125,2556284.583,0
2023,12,2023-12,2125,3079537.482,0.4831033510221733
2023,1,2023-01,2130,5619146.509,0.11322016238966473
2023,2,2023-02,2130,5229189.588,0.0547703604262202
2023,3,2023-03,2130,5403075.704,0.0808337753755667
2023,4,2023-04,2130,4863780.632,0
2023,5,2023-05,2130,5452475.917,0.08823826677271263
2023,6,2023-06,2130,5627159.65,0.11442123481416262
2023,7,2023-07,2130,7443427.442,0.38665769745405215
2023,8,2023-08,2130,11535435.76,1
2023,9,2023-09,2130,10613234.825,0.8617732905393067
2023,10,2023-10,2130,6750884.237,0.2828538898960905
2023,11,2023-11,2130,5160057.347,0.044408277903419814
2023,12,2023-12,2130,5810531.389,0.1419064293396432
2023,1,2023-01,2135,6670747.481,0.5510601451773965
2023,2,2023-02,2135,6101787.468,0.170537047599122
2023,3,2023-03,2135,6307478.564,0.30810420733938004
2023,4,2023-04,2135,5846799.633,0
2023,5,2023-05,2135,6219932.317,0.24955287099126144
2023,6,2023-06,2135,6602722.737,0.505564880646655
2023,7,2023-07,2135,7342004.567,1
2023,8,2023-08,2135,7089460.403,0.8310972909082174
2023,9,2023-09,2135,6538699.536,0.46274586664786926
2023,10,2023-10,2135,6197739.204,0.23471001400534414
2023,11,2023-11,2135,6152900.918,0.20472196020722824
2023,12,2023-12,2135,6736958.372,0.5953422964025615
2023,1,2023-01,2140,4596150.068,0.18669969152822496
2023,2,2023-02,2140,4168912.818,0.03114376932670475
2023,3,2023-03,2140,4468679.009,0.14028782520161265
2023,4,2023-04,2140,4665937.609,0.21210914563933403
2023,5,2023-05,2140,5344976.788,0.45934546620901306
2023,6,2023-06,2140,5619077.708,0.5591448666285342
2023,7,2023-07,2140,6829894.578,1
