postcodes,district,county,district_county
6260,Guarda,Manteigas,Guarda_Manteigas
6264,Guarda,Manteigas,Guarda_Manteigas
6430,Guarda,Mêda,Guarda_Meda
6400,Guarda,Pinhel,Guarda_Pinhel
6320,Guarda,Sabugal,Guarda_Sabugal
6250,Guarda,Sabugal,Guarda_Sabugal
6324,Guarda,Sabugal,Guarda_Sabugal
6270,Guarda,Seia,Guarda_Seia
6274,Guarda,Seia,Guarda_Seia
6285,Guarda,Seia,Guarda_Seia
6420,Guarda,Trancoso,Guarda_Trancoso
3640,Guarda,Trancoso,Guarda_Trancoso
6424,Guarda,Trancoso,Guarda_Trancoso
5150,Guarda,Vila Nova de Foz Côa,Guarda_Vila Nova de Foz Côa
5155,Guarda,Vila Nova de Foz Côa,Guarda_Vila Nova de Foz Côa
9980,Ilha do Corvo,Corvo,Ilha do Corvo_Corvo
9900,Ilha do Faial,Horta,Ilha do Faial_Horta
9901,Ilha do Faial,Horta,Ilha do Faial_Horta
9904,Ilha do Faial,Horta,Ilha do Faial_Horta
9960,Ilha das Flores,Lajes das Flores,Ilha das Flores_Lajes das Flores
9970,Ilha das Flores,Santa Cruz das Flores,Ilha das Flores_Santa Cruz das Flores
9880,Ilha da Graciosa,Santa Cruz da Graciosa,Ilha da Graciosa_Santa Cruz da Graciosa
9370,Ilha da Madeira,Calheta_Madeira,Ilha da Madeira_Calheta 
9374,Ilha da Madeira,Calheta_Madeira,Ilha da Madeira_Calheta 
9385,Ilha da Madeira,Calheta_Madeira,Ilha da Madeira_Calheta 
9300,Ilha da Madeira,Câmara de Lobos,Ilha da Madeira_Câmara de Lobos
9304,Ilha da Madeira,Câmara de Lobos,Ilha da Madeira_Câmara de Lobos
9030,Ilha da Madeira,Câmara de Lobos,Ilha da Madeira_Câmara de Lobos
9325,Ilha da Madeira,Câmara de Lobos,Ilha da Madeira_Câmara de Lobos
9050,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9054,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9060,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9004,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9000,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9064,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9020,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9024,Ilha da Madeira,Funchal,Ilha da Madeira_Funchal
9200,Ilha da Madeira,Machico,Ilha da Madeira_Machico
9225,Ilha da Madeira,Machico,Ilha da Madeira_Machico
9360,Ilha da Madeira,Ponta do Sol,Ilha da Madeira_Ponta do Sol
9270,Ilha da Madeira,Porto Moniz,Ilha da Madeira_Porto Moniz
9350,Ilha da Madeira,Ribeira Brava,Ilha da Madeira_Ribeira Brava
9135,Ilha da Madeira,Santa Cruz,Ilha da Madeira_Santa Cruz
9125,Ilha da Madeira,Santa Cruz,Ilha da Madeira_Santa Cruz
9100,Ilha da Madeira,Santa Cruz,Ilha da Madeira_Santa Cruz
9230,Ilha da Madeira,Santana,Ilha da Madeira_Santana
9240,Ilha da Madeira,São Vicente,Ilha da Madeira_São Vicente
9930,Ilha do Pico,Lajes do Pico,Ilha do Pico_Lajes do Pico
9934,Ilha do Pico,Lajes do Pico,Ilha do Pico_Lajes do Pico
9950,Ilha do Pico,Madalena,Ilha do Pico_Madalena
9940,Ilha do Pico,São Roque do Pico,Ilha do Pico_São Roque do Pico
9944,Ilha do Pico,São Roque do Pico,Ilha do Pico_São Roque do Pico
9400,Ilha de Porto Santo,Porto Santo,Ilha de Porto Santo_Porto Santo
9580,Ilha de Santa Maria,Vila do Porto,Ilha de Santa Maria_Vila do Porto
9850,Ilha de São Jorge,Calheta_Azores,Ilha de São Jorge_Calheta 
9875,Ilha de São Jorge,Calheta_Azores,Ilha de São Jorge_Calheta 
9800,Ilha de São Jorge,Velas,Ilha de São Jorge_Velas
9804,Ilha de São Jorge,Velas,Ilha de São Jorge_Velas
9560,Ilha de São Miguel,Lagoa_Azores,Ilha de São Miguel_Lagoa 
9630,Ilha de São Miguel,Nordeste,Ilha de São Miguel_Nordeste
9545,Ilha de São Miguel,Ponta Delgada,Ilha de São Miguel_Ponta Delgada
9500,Ilha de São Miguel,Ponta Delgada,Ilha de São Miguel_Ponta Delgada
9504,Ilha de São Miguel,Ponta Delgada,Ilha de São Miguel_Ponta Delgada
9555,Ilha de São Miguel,Ponta Delgada,Ilha de São Miguel_Ponta Delgada
9650,Ilha de São Miguel,Povoação,Ilha de São Miguel_Povoação
9675,Ilha de São Miguel,Povoação,Ilha de São Miguel_Povoação
9600,Ilha de São Miguel,Ribeira Grande,Ilha de São Miguel_Ribeira Grande
9625,Ilha de São Miguel,Ribeira Grande,Ilha de São Miguel_Ribeira Grande
9680,Ilha de São Miguel,Vila Franca do Campo,Ilha de São Miguel_Vila Franca do Campo
9684,Ilha de São Miguel,Vila Franca do Campo,Ilha de São Miguel_Vila Franca do Campo
9700,Ilha Terceira,Angra do Heroísmo,Ilha Terceira_Angra do Heroísmo
9701,Ilha Terceira,Angra do Heroísmo,Ilha Terceira_Angra do Heroísmo
9760,Ilha Terceira,Vila da Praia da Vitória,Ilha Terceira_Praia da Vitória
2460,Leiria,Alcobaça,Leiria_Alcobaça
2461,Leiria,Alcobaça,Leiria_Alcobaça
2475,Leiria,Alcobaça,Leiria_Alcobaça
2445,Leiria,Alcobaça,Leiria_Alcobaça
3250,Leiria,Alvaiázere,Leiria_Alvaiázere
3254,Leiria,Alvaiázere,Leiria_Alvaiázere
3260,Leiria,Alvaiázere,Leiria_Alvaiázere
3240,Leiria,Ansião,Leiria_Ansião
2440,Leiria,Batalha,Leiria_Batalha
2495,Leiria,Batalha,Leiria_Batalha
2540,Leiria,Bombarral,Leiria_Bombarral
2500,Leiria,Caldas da Rainha,Leiria_Caldas da Rainha
2504,Leiria,Caldas da Rainha,Leiria_Caldas da Rainha
3280,Leiria,Castanheira de Pêra,Leiria_Castanheira de Pêra
3260,Leiria,Figueiró dos Vinhos,Leiria_Figueiró dos Vinhos
2400,Leiria,Leiria,Leiria_Leiria
2404,Leiria,Leiria,Leiria_Leiria
2420,Leiria,Leiria,Leiria_Leiria
2424,Leiria,Leiria,Leiria_Leiria
2425,Leiria,Leiria,Leiria_Leiria
2410,Leiria,Leiria,Leiria_Leiria
2415,Leiria,Leiria,Leiria_Leiria
2419,Leiria,Leiria,Leiria_Leiria
2423,Leiria,Leiria,Leiria_Leiria
2495,Leiria,Leiria,Leiria_Leiria
2414,Leiria,Leiria,Leiria_Leiria
2405,Leiria,Leiria,Leiria_Leiria
2499,Leiria,Leiria,Leiria_Leiria
2430,Leiria,Marinha Grande,Leiria_Marinha Grande
2434,Leiria,Marinha Grande,Leiria_Marinha Grande
2445,Leiria,Marinha Grande,Leiria_Marinha Grande
2450,Leiria,Nazaré,Leiria_Nazaré
2510,Leiria,Óbidos,Leiria_Óbidos
3270,Leiria,Pedrógão Grande,Leiria_Pedrógão Grande
2525,Leiria,Peniche,Leiria_Peniche
2520,Leiria,Peniche,Leiria_Peniche
3100,Leiria,Pombal,Leiria_Pombal
3105,Leiria,Pombal,Leiria_Pombal
3104,Leiria,Pombal,Leiria_Pombal
2480,Leiria,Porto de Mós,Leiria_Porto de Mós
2485,Leiria,Porto de Mós,Leiria_Porto de Mós
2484,Leiria,Porto de Mós,Leiria_Porto de Mós
2580,Lisboa,Alenquer,Lisboa_Alenquer
2581,Lisboa,Alenquer,Lisboa_Alenquer
2584,Lisboa,Alenquer,Lisboa_Alenquer
2650,Lisboa,Amadora,Lisboa_Amadora
2614,Lisboa,Amadora,Lisboa_Amadora
2610,Lisboa,Amadora,Lisboa_Amadora
2700,Lisboa,Amadora,Lisboa_Amadora
2720,Lisboa,Amadora,Lisboa_Amadora
2704,Lisboa,Amadora,Lisboa_Amadora
2724,Lisboa,Amadora,Lisboa_Amadora
2654,Lisboa,Amadora,Lisboa_Amadora
2630,Lisboa,Arruda dos Vinhos,Lisboa_Arruda dos Vinhos
2634,Lisboa,Arruda dos Vinhos,Lisboa_Arruda dos Vinhos
2065,Lisboa,Azambuja,Lisboa_Azambuja
2050,Lisboa,Azambuja,Lisboa_Azambuja
2054,Lisboa,Azambuja,Lisboa_Azambuja
2550,Lisboa,Cadaval,Lisboa_Cadaval
2755,Lisboa,Cascais,Lisboa_Cascais
2645,Lisboa,Cascais,Lisboa_Cascais
2649,Lisboa,Cascais,Lisboa_Cascais
2756,Lisboa,Cascais,Lisboa_Cascais
2775,Lisboa,Cascais,Lisboa_Cascais
2750,Lisboa,Cascais,Lisboa_Cascais
2765,Lisboa,Cascais,Lisboa_Cascais
2769,Lisboa,Cascais,Lisboa_Cascais
2785,Lisboa,Cascais,Lisboa_Cascais
2779,Lisboa,Cascais,Lisboa_Cascais
2754,Lisboa,Cascais,Lisboa_Cascais
2789,Lisboa,Cascais,Lisboa_Cascais
1300,Lisboa,Lisboa,Lisboa_Lisboa
1400,Lisboa,Lisboa,Lisboa_Lisboa
1349,Lisboa,Lisboa,Lisboa_Lisboa
1070,Lisboa,Lisboa,Lisboa_Lisboa
1350,Lisboa,Lisboa,Lisboa_Lisboa
1449,Lisboa,Lisboa,Lisboa_Lisboa
1900,Lisboa,Lisboa,Lisboa_Lisboa
1949,Lisboa,Lisboa,Lisboa_Lisboa
1000,Lisboa,Lisboa,Lisboa_Lisboa
1049,Lisboa,Lisboa,Lisboa_Lisboa
1700,Lisboa,Lisboa,Lisboa_Lisboa
1749,Lisboa,Lisboa,Lisboa_Lisboa
