Year;Month;Date;Zip Code;Active Energy (kWh)
2023;6;2023-06;6370;905310.711
2023;6;2023-06;7000;5472397.441
2023;6;2023-06;7090;1486498.319
2023;6;2023-06;7150;1820126.483
2023;6;2023-06;7220;16483245.25
2023;6;2023-06;7300;9301240.904
2023;6;2023-06;7330;845060.655
2023;6;2023-06;7370;5089858.445
2023;6;2023-06;7400;3706577.946
2023;6;2023-06;7425;1122036.768
2023;6;2023-06;7430;869479.135
2023;6;2023-06;7480;4531132.939
2023;6;2023-06;7580;5853188.849
2023;6;2023-06;7600;15269163.469
2023;6;2023-06;7830;8550277.374
2023;6;2023-06;7875;595140.654
2023;6;2023-06;7900;5913557.767
2023;6;2023-06;7940;1783878.485
2023;6;2023-06;7960;8050340.224
2023;6;2023-06;8100;15976134.985
2023;6;2023-06;8300;4024177.713
2023;6;2023-06;8400;12818910.883
2023;6;2023-06;8650;2858554.901
2023;6;2023-06;8670;1942612.866
2023;6;2023-06;8950;4307903.682
2023;6;2023-06;8970;767780.627
2023;7;2023-07;1050;22429570.611
2023;7;2023-07;1150;9776627.791
2023;7;2023-07;1169;357.875
2023;7;2023-07;1300;10665902.295
2023;7;2023-07;1349;47829.612
2023;7;2023-07;1350;7259255.448
2023;7;2023-07;1400;6346112.822
2023;7;2023-07;1600;25334148.129
2023;7;2023-07;1700;20973862.451
2023;7;2023-07;1749;81.872
2023;7;2023-07;1849;410.678
2023;7;2023-07;1885;2544968.442
2023;7;2023-07;2000;8251017.763
2023;7;2023-07;2025;5931599.549
2023;7;2023-07;2040;14207109.132
2023;7;2023-07;2050;13308420.907
2023;7;2023-07;2080;7970834.421
2023;7;2023-07;2140;6829894.578
2023;7;2023-07;2205;5328885.736
2023;7;2023-07;2300;6618202.975
2023;7;2023-07;2380;4799943.585
2023;7;2023-07;2435;4597806.065
2023;7;2023-07;2445;6901572.669
2023;7;2023-07;2460;13448111.85
2023;7;2023-07;2480;10359711.743
2023;7;2023-07;2485;628059.991
2023;7;2023-07;2510;5693409.198
2023;7;2023-07;2550;3699005.307
2023;7;2023-07;2560;16074671.76
2023;7;2023-07;2580;20701937.154
2023;7;2023-07;2625;19211474.44
2023;7;2023-07;2635;12908723.136
2023;7;2023-07;2640;7688714.577
2023;7;2023-07;2655;3975755.504
2023;7;2023-07;2670;13761809.515
2023;7;2023-07;2680;4175156.346
2023;7;2023-07;2695;6176005.997
2023;7;2023-07;2705;9259807.001
2023;7;2023-07;2710;11933498.749
2023;7;2023-07;2715;7103963.991
2023;7;2023-07;2735;11707893.029
2023;7;2023-07;2750;14426044.551
2023;7;2023-07;2760;1118870.62
2023;7;2023-07;2765;8889827.722
2023;7;2023-07;2774;263.71
2023;7;2023-07;2775;8655377.706
2023;7;2023-07;2785;9496124.956
2023;7;2023-07;2790;13642337.14
2023;7;2023-07;2800;5295998.777
2023;7;2023-07;2815;1849133.52
2023;7;2023-07;2819;563.0
2023;7;2023-07;2830;13906059.015
2023;7;2023-07;2835;6992225.596
2023;7;2023-07;2865;3840353.893
2023;7;2023-07;2890;7611604.056
2023;7;2023-07;2900;19759778.379
2023;7;2023-07;2975;4292039.417
2023;7;2023-07;3000;10794897.278
2023;7;2023-07;3020;17943472.412
2023;7;2023-07;3025;4565628.999
2023;7;2023-07;3050;7708994.67
2023;7;2023-07;3070;4876457.244
2023;7;2023-07;3130;5684693.17
2023;7;2023-07;3150;3952603.328
2023;7;2023-07;3220;1943569.998
2023;7;2023-07;3280;836149.396
2023;7;2023-07;3300;3043209.417
2023;7;2023-07;3350;1846290.704
2023;7;2023-07;3440;2346098.845
2023;7;2023-07;3460;4944388.033
2023;7;2023-07;3465;4077994.345
2023;7;2023-07;3500;10599600.693
2023;7;2023-07;3570;1464732.567
2023;7;2023-07;3630;520677.419
2023;7;2023-07;3640;1452951.327
2023;7;2023-07;3740;2621966.589
2023;7;2023-07;3770;11148662.329
2023;7;2023-07;3780;9806675.82
2023;7;2023-07;3840;7794166.219
2023;7;2023-07;3850;15397819.202
2023;7;2023-07;3885;11220283.931
2023;7;2023-07;4049;2038.231
2023;7;2023-07;4169;817.795
2023;7;2023-07;4410;12201872.922
2023;7;2023-07;4425;18589497.56
2023;7;2023-07;4440;9874526.795
2023;7;2023-07;4465;13251372.604
2023;7;2023-07;4470;29452728.582
2023;7;2023-07;4500;7577347.628
2023;7;2023-07;4520;17382544.123
2023;7;2023-07;4550;3794134.592
2023;7;2023-07;4570;5346531.495
2023;7;2023-07;4580;10010378.932
2023;7;2023-07;4585;8976936.425
2023;7;2023-07;4595;8819388.734
2023;7;2023-07;4630;4417137.985
2023;7;2023-07;4740;11602345.949
2023;7;2023-07;4755;11411444.158
2023;7;2023-07;4760;46327616.731
2023;7;2023-07;4765;9972585.861
2023;7;2023-07;4775;4072824.628
2023;7;2023-07;4785;11103148.893
2023;7;2023-07;4850;4111800.143
2023;7;2023-07;4860;2952739.152
2023;7;2023-07;4870;2324418.314
2023;7;2023-07;4880;1392474.598
2023;7;2023-07;4900;9616365.359
2023;7;2023-07;4925;5568008.305
2023;7;2023-07;4940;2259149.892
2023;7;2023-07;4960;1830309.723
2023;7;2023-07;4970;8249281.499
2023;7;2023-07;4980;2197902.581
2023;7;2023-07;4990;9641007.952
2023;7;2023-07;5000;12532261.403
2023;7;2023-07;5040;852570.461
2023;7;2023-07;5120;974886.847
2023;7;2023-07;5130;1596429.428
2023;7;2023-07;5140;1224068.141
2023;7;2023-07;5150;1324465.593
2023;7;2023-07;5155;499539.182
2023;7;2023-07;5180;803320.053
2023;7;2023-07;5200;2157194.9
2023;7;2023-07;5320;1092161.292
2023;7;2023-07;5360;1921921.498
2023;7;2023-07;5370;4965822.941
2023;7;2023-07;5400;9248444.693
2023;7;2023-07;5425;964489.572
2023;7;2023-07;6050;1526294.822
2023;7;2023-07;6060;3699582.245
2023;7;2023-07;6090;1182013.186
2023;7;2023-07;6120;2167365.471
2023;7;2023-07;6215;1776762.701
2023;7;2023-07;6230;8043313.774
2023;7;2023-07;6270;4805593.821
2023;7;2023-07;6300;14104634.433
2023;7;2023-07;6350;474991.078
2023;7;2023-07;6355;924279.503
2023;7;2023-07;6430;966486.866
2023;7;2023-07;7000;5927359.848
2023;7;2023-07;7005;19742080.858
2023;7;2023-07;7080;3685806.171
2023;7;2023-07;7090;1693525.262
2023;7;2023-07;7150;2082698.208
2023;7;2023-07;7170;1599215.635
2023;7;2023-07;7200;5234300.885
2023;7;2023-07;7220;17115555.567
2023;7;2023-07;7250;1781286.897
2023;7;2023-07;7300;9828312.413
2023;7;2023-07;7330;983084.948
2023;7;2023-07;7340;1042179.74
2023;7;2023-07;7370;5714945.129
2023;7;2023-07;7425;1340747.957
2023;7;2023-07;7555;985230.774
